zipcode,H025_zip,H512_zip,total_capacity,facility_count
11211,61.099960153820476,2391.9000398461794,2453,29
11212,326.65630485138706,5103.343695148613,5430,110
11213,128.2382149113508,2062.761785088649,2191,44
11214,86.69054991585189,2411.309450084148,2498,32
11215,395.7414206631979,2729.258579336802,3125,85
11216,86.56202255387379,1691.4379774461263,1778,32
11217,117.05494146122797,1065.945058538772,1183,24
11218,185.4232111074697,2901.57678889253,3087,59
11219,450.57693045689246,2144.4230695431074,2595,91
11220,132.25284787727043,2118.7471521227294,2251,44
112201220,0.0,160.0,160,1
11221,285.6829977142754,2685.317002285725,2971,79
112211111,0.0,140.0,140,1
11222,41.62682118893271,630.3731788110673,672,11
11223,60.63002221236708,1387.369977787633,1448,19
11224,31.002298864503274,1133.9977011354968,1165,17
11225,186.75185609133825,1806.2481439086619,1993,53
11226,246.01613545397845,2852.983864546022,3099,80
11228,32.46104659500691,1179.5389534049932,1212,13
112283633,0.0,81.0,81,1
11229,104.64054396547056,1735.3594560345296,1840,36
11230,135.6166123423298,688.3833876576703,824,28
11231,151.22107274106122,1310.778927258939,1462,37
11232,105.98326755251993,1593.01673244748,1699,32
11233,195.12136632599407,3219.878633674006,3415,62
11234,247.76784996257427,2622.2321500374255,2870,74
11235,138.0602542078011,1614.939745792199,1753,39
112356606,0.0,156.0,156,1
11236,416.80871057518,4183.19128942482,4600,123
11237,73.57072795814857,1395.4292720418514,1469,26
11238,126.62409953641549,1883.3759004635845,2010,32
11239,26.7348096388936,775.2651903611064,802,16
11249,46.50073418189935,268.4992658181007,315,10
11354,46.25427745345774,1206.7457225465423,1253,18
11355,62.434665014734954,3390.565334985265,3453,34
11356,68.23967511240085,813.7603248875992,882,17
11357,25.186873340677867,1061.813126659322,1087,13
11358,51.719652446186466,627.2803475538135,679,14
11360,10.486647793579902,474.5133522064201,485,4
11361,60.433136555668725,1440.5668634443314,1501,18
11362,16.36262837851282,332.63737162148715,349,7
11363,32.92739510635472,193.0726048936453,226,6
11364,20.276448395733606,1309.7235516042665,1330,16
11365,63.77162985962439,1242.2283701403755,1306,20
113651365,0.0,20.0,20,1
11366,62.90091314848805,524.099086851512,587,14
11367,284.02990597360014,1920.9700940264,2205,60
113673424,4.5600000000000005,11.44,16,1
11368,196.81413392561802,2860.185866074382,3057,61
113683914,4.5600000000000005,11.44,16,1
11369,199.7426933511269,1244.257306648873,1444,55
11370,68.35549355191239,163.6445064480876,232,15
113701121,0.0,222.0,222,1
11372,101.81936595162826,1665.1806340483718,1767,28
