batch,facility_id,zipcode,latitude,longitude,added_slots,cost
batch_9,865560,11710,40.692514,-73.543065,22,41057.142857142855
batch_9,787823,11710,40.66913,-73.529501,20,37492.307692307695
batch_9,736563,11710,40.672747,-73.5388,16,31219.04761904762
batch_9,644097,11710,40.679358,-73.532951,6,17100.0
batch_9,857989,11710,40.69043,-73.526843,6,17100.0
batch_9,872981,11710,40.699544,-73.552332,6,17100.0
batch_9,828045,11710,40.695349,-73.528341,6,17100.0
batch_9,890537,11710,40.652253,-73.529293,6,17100.0
batch_9,889911,11710,40.699419,-73.536004,6,17100.0
batch_9,240413,11710,40.67238064730255,-73.5365117627899,4,12866.666666666668
batch_9,712473,11710,40.694212,-73.551053,4,14200.0
batch_9,73506,10013,40.71873,-73.998443,87,137581.6513761468
batch_9,73581,10013,40.71873,-73.998443,64,102350.3105590062
batch_9,874924,10013,40.720591,-74.010717,12,26000.0
batch_9,736322,10013,40.72006,-73.99546,6,17100.0
batch_9,848481,10013,40.718642,-73.994986,4,14200.0
batch_9,142950,12189,42.736167,-73.709971,65,104326.82926829268
batch_9,865601,12189,42.732657,-73.702853,15,31092.30769230769
batch_9,693974,12189,42.731556,-73.705994,6,17100.0
batch_9,905015,12189,42.725084,-73.70106,6,17100.0
batch_9,772736,12189,42.726071,-73.704313,6,17100.0
batch_9,845534,12189,42.725263,-73.706607,6,17100.0
batch_9,552596,12189,42.712982,-73.712581,6,17100.0
batch_9,488139,12189,42.711601,-73.709489,6,17100.0
batch_9,441033,12189,42.752882,-73.717107,3,12900.0
batch_9,102363,12189,42.729168,-73.707653,3,12900.0
batch_9,208482,12189,42.733623,-73.710221,3,12900.0
batch_9,40850,14103,43.222577,-78.377617,29,52545.20547945205
batch_9,328419,14103,43.220654,-78.390342,22,39919.29824561404
batch_9,875709,14103,43.208139,-78.38161,16,31219.04761904762
batch_9,174526,14103,43.214325,-78.394177,12,26000.0
batch_9,264976,14103,43.216791,-78.391264,6,17100.0
batch_9,279564,14103,43.197139,-78.420508,6,17100.0
batch_9,748645,14103,43.21874936410251,-78.38744303560925,6,17100.0
batch_9,850389,14070,42.473256,-78.940723,12,26000.0
batch_9,858127,14070,42.475317,-78.940982,8,19800.0
batch_9,39508,14070,42.464811,-78.933122,7,19377.77777777778
batch_9,882579,14070,42.464098,-78.927773,6,17100.0
batch_9,226063,10037,40.813297,-73.937435,68,108600.0
batch_9,878055,10037,40.818653,-73.937241,52,85000.0
batch_9,356701,10037,40.815522,-73.939483,41,68884.61538461539
batch_9,791983,10037,40.815962,-73.937661,6,17100.0
batch_9,750149,10037,40.813228,-73.937072,6,17100.0
batch_9,835311,10037,40.813104,-73.93716,6,17100.0
batch_9,613915,10037,40.812112,-73.942633,6,17100.0
batch_9,803514,10037,40.813228,-73.937072,6,17100.0
batch_9,882831,10037,40.815793,-73.936496,6,17100.0
batch_9,312170,10037,40.818206,-73.938186,5,14742.857142857141
batch_9,905717,10037,40.811356,-73.939871,4,12866.666666666668
batch_9,133408,10037,40.812726,-73.936109,4,12866.666666666668
batch_9,108853,10037,40.812234,-73.938203,3,12900.0
batch_9,496871,10037,40.815031,-73.935729,3,12900.0
batch_9,539178,10037,40.811215,-73.937142,3,12900.0
batch_9,805025,10037,40.815957,-73.937648,3,12900.0
batch_9,473169,10037,40.815962,-73.937661,3,12900.0
batch_9,817109,10037,40.816405,-73.938873,3,12900.0
batch_9,886305,14464,43.320005,-77.927866,17,34506.976744186046
batch_9,145238,14305,43.116543,-79.048844,44,73127.92792792793
batch_9,542562,14305,43.106252,-79.009635,35,60465.16853932584
